id_doctor,nombre,especialidad,latitud,longitud,hospital
D001,Dr. José Alberto Castillo,Pediatría,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D002,Dra. Stephany Caraveo Loya,"Algología, Anestesiología",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D003,Dra. Carla Adelina  Escorza  Molina,Anestesiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D004,Dra. Gabriela Islas Lagunas,Anestesiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D005,Dra. Laura Patricia Palacios Dueñas,Anestesiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D006,Dr. Víctor Manuel Martínez Payán,Anestesiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D007,Dr. Juan Francisco López Burgos,Anestesiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D008,Dr. Ángel Manuel Juárez Lemus,Anestesiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D009,Dr. José Salvador Juárez Pichardo,Anestesiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D010,Dr. Sergio Ayala Fraustro,Anestesiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D011,Dra. Eunice Elizabeth  Cabriales Amador,"Algología, Anestesiología",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D012,Dr. Gerardo Martin Gomez Nieto,Anestesiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D013,Dr. Gerardo Martin Gomez Nieto,Anestesiología,19.39500767995293,-99.27995877648016,Hospital Angeles Lomas
D014,Dr. Misael Sanchez Tamariz,Angiología y Cirugía Vascular,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D015,Dra. Ana Karen  Trujillo Araujo,Angiología y Cirugía Vascular,19.415371788050187,-99.15555235731414,Hospital Angeles Roma
D016,Dra. Ana Karen  Trujillo Araujo,Angiología y Cirugía Vascular,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D017,Dr. Hugo Laparra Escareño,Angiología y Cirugía Vascular,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D018,Dr. Hugo Laparra Escareño,Angiología y Cirugía Vascular,19.31271740346205,-99.21995782806168,Hospital Angeles del Pedregal
D019,Dra. Liliana Chávez Guzmán,Angiología y Cirugía Vascular,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D020,Dr. Enrique Alberto  Evia Fuentes,"Artroscopía, Medicina del Deporte, Ortopedia y Traumatología",19.364908024864977,-99.16692688388264,Hospital Angeles Universidad
D021,Dr. Enrique Alberto  Evia Fuentes,"Artroscopía, Medicina del Deporte, Ortopedia y Traumatología",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D022,Dr. MAURICIO MENDOZA JIMENEZ,"Artroscopía, Ort y Traumatología Pediátrica, Ortopedia y Traumatología",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D023,Dr. Eliu Hazael  Morales  Rangel,"Artroscopía, Ortopedia y Traumatología",19.48701237090532,-99.12830124155424,Hospital Angeles Lindavista
D024,Dr. Eliu Hazael  Morales  Rangel,"Artroscopía, Ortopedia y Traumatología",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D025,Dr. Enrique Hanff Lara Barragan,"Artroscopía, Ortopedia y Traumatología",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D026,Dra. Ximena Ancona Llanas,Audiología y Foniatría,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D027,Dr. Emmanuel  Peña  Gomez Portugal,"Broncoscopía, Cirugía de Tórax, Cirugía General",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D028,Dr. Ricardo Cortés  García,"Broncoscopía, Cirugía Pediátrica, Pediatría",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D029,Dr. Manuel Alejandro Candia Ramírez,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D030,Dr. Uriel Encarnación Martínez,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D031,Dra. Maria Alexandra Arias Mendoza,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D032,Dr. Óscar Alberto Ballesteros  Vázquez,"Cardiología, Cardiología Intervencionista",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D033,Dr. Óscar Alberto Ballesteros  Vázquez,"Cardiología, Cardiología Intervencionista",19.31271740346205,-99.21995782806168,Hospital Angeles del Pedregal
D034,Dr. Óscar Alberto Ballesteros  Vázquez,"Cardiología, Cardiología Intervencionista",19.407132355681377,-99.1666021943711,Hospital Angeles Metropolitano
D035,Dr. Rafaél Alan Sandoval  Espadas,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D036,Dra. Emma Margarita Miranda Malpica,"Cardiología, Cardiología Intervencionista",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D037,Dr. Juan Manuel  Muñoz Bravo,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D038,Dr. Mario Alberto Ornelas Casillas,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D039,Dr. Jesus Antonio Viana Rojas,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D040,Dra. Cynthia Noemi Jackson Pedroza,"Cardiología, Cardiología Intervencionista",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D041,Dr. Jorge Alberto Vega Gómez,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D042,Dr. Gerardo  Mercado Leal,"Cardiología, Medicina Interna",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D043,Dr. Arturo Méndez Ortiz,"Cardiología, Cardiología Intervencionista",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D044,Dr. Arturo Méndez Ortiz,"Cardiología, Cardiología Intervencionista",19.31271740346205,-99.21995782806168,Hospital Angeles del Pedregal
D045,Dr. Sergio  Jiménez  Flores,"Cardiología, Medicina Interna",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D046,Dr. Arturo Arzate Ramírez,Cardiología,19.364908024864977,-99.16692688388264,Hospital Angeles Universidad
D047,Dr. Arturo Arzate Ramírez,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D048,Dr. Héctor Miguel Malvaez López,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D049,Dr. Eduardo Julián José Roberto Chuquiure Valenzuela,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D050,Dr. Emmanuel  Adrián Lazcano Díaz,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D051,Dr. Gian Manuel Jiménez Rodríguez,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D052,Dra. Consuelo Orihuela  Sandoval,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D053,Dr. José Pablo Hernández Reyes,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D054,Dr. Aldo César Cázares Díazleal,"Cardiología, Cardiología Intervencionista",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D055,Dr. Jaime Galindo Uribe,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D056,Dr. Carlos Fernando Novoa Arguello,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D057,Dr. Manuel Antonio Ruiz Goytortúa,"Cardiología, Medicina Interna",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D058,Dr. Jorge Rafael Gómez Flores,"Cardiología, Electrofisiología",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D059,Dr. Octavio  Fernández Aguilar,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D060,Dr. Rolando Joel Álvarez Álvarez,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D061,Dr. Marcelo Utrera Lagunas,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D062,Dr. JAIME RIVERA FIGUEROA,"Cardiología, Electrofisiología",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D063,Dr. Miguel Ángel Millán Catalán,"Cardiología, Cardiología Intervencionista",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D064,Dr. Omar Alejandro Márquez  Valero,"Cardiología, Ecocardiografía, Medicina Interna",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D065,Dr. Gerardo Payro Ramírez,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D066,Dr. Carlos Laertes  Cruz Enríquez,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D067,Dr. Ricardo  Escandón  Martínez,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D068,Dr. Mario Enrique  Baltazares Lipp,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D069,Dr. Francisco  López  Arguelles,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D070,Dr. Rodrigo  Gopar Nieto,Cardiología,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D071,Dr. Juan Manuel Rebull Isusi,"Cardiología, Ecocardiografía",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D072,Dr. Jesús  Díaz Marín,Cardiología Intervencionista,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D073,Dra. Gabriela  Bahena  Mier,Cardiología Pediátrica,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D074,Dr. José Antonio Razo Pinete,Cardiología Pediátrica,19.48701237090532,-99.12830124155424,Hospital Angeles Lindavista
D075,Dr. José Antonio Razo Pinete,Cardiología Pediátrica,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D076,Dra. Irma Ofelia Miranda Chávez,Cardiología Pediátrica,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D077,Dr. Mauricio Soule Egea,"Cirugía Cardiotorácica, Cirugía Cardiotorácica Pediátrica, Cirugía Cardiovascular",19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D078,Dr. Mauricio Soule Egea,"Cirugía Cardiotorácica, Cirugía Cardiotorácica Pediátrica, Cirugía Cardiovascular",19.31271740346205,-99.21995782806168,Hospital Angeles del Pedregal
D079,Dr. Mauricio Soule Egea,"Cirugía Cardiotorácica, Cirugía Cardiotorácica Pediátrica, Cirugía Cardiovascular",19.41096065106638,-99.1846886065678,Hospital Angeles Mocel
D080,Dr. Sergio Luis Mora Canela,Cirugía Cardiotorácica,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D081,Dr. José Alejandro Avalos Bracho,Cirugía Cardiotorácica,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D082,Dr. Adrián Yebra López,Cirugía Cardiotorácica,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D083,Dr. Edwin Javier Crespo Martínez,Cirugía Cardiotorácica,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D084,Dra. María Del Sol García Ortegón,Cirugía Cardiotorácica,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
D085,Dra. Francina Valezka Bolaños Morales,Cirugía Cardiotorácica,19.30015150075668,-99.13521934890532,Hospital Angeles Acoxpa
